*Lisp	C*
A+_(programming_language)	K_(programming_language)
ABC_(programming_language)	Python_(programming_language)
AIMACO	COBOL
ALGOL	C_(programming_language)
ALGOL	PL/I
ALGOL	Pascal_(programming_language)
ALGOL	Scheme_(programming_language)
ALGOL	Simula
ALGOL_58	ALGOL
ALGOL_60	Ada_(programming_language)
ALGOL_60	CPL_(programming_language)
ALGOL_60	C_(programming_language)
ALGOL_60	Pascal_(programming_language)
ALGOL_60	Simula
ALGOL_68	Steelman_language_requirements
ALGOL_68	Seed7
ALGOL_68	S3_(programming_language)
ALGOL_68	Python_(programming_language)
ALGOL_68	KornShell
ALGOL_68	Mary_(programming_language)
ALGOL_68	C++
ALGOL_68	Bourne_shell
ALGOL_68	Bash_(Unix_shell)
ALGOL_68	Ada_(programming_language)
ALGOL_68	C_(programming_language)
ALGOL_W	Modula-2
ALGOL_W	Pascal_(programming_language)
AMPL	Pyomo
APL_(programming_language)	J_(programming_language)
APL_(programming_language)	S_(programming_language)
APL_(programming_language)	Q_(programming_language_from_Kx_Systems)
APL_(programming_language)	Python_(programming_language)
APL_(programming_language)	Polymorphic_Programming_Language
APL_(programming_language)	Nial
APL_(programming_language)	FP_(programming_language)
APL_(programming_language)	K_(programming_language)
APL_(programming_language)	Speakeasy_(computational_environment)
APL_(programming_language)	C++
APL_(programming_language)	A+_(programming_language)
APL_(programming_language)	MATLAB
APL_(programming_language)	Wolfram_Language
AWK	Perl
AWK	Lua_(programming_language)
AWK	Tcl
AWK	AMPL
AWK	KornShell
ActionScript	Haxe
Ada_(programming_language)	VHDL
Ada_(programming_language)	Seed7
Ada_(programming_language)	SQL/PSM
Ada_(programming_language)	Ruby_(programming_language)
Ada_(programming_language)	Python_(programming_language)
Ada_(programming_language)	ParaSail_(programming_language)
Ada_(programming_language)	PL/SQL
Ada_(programming_language)	PL/pgSQL
Ada_(programming_language)	Java_(programming_language)
Ada_(programming_language)	Eiffel_(programming_language)
Ada_(programming_language)	Drago_(programming_language)
Ada_(programming_language)	D_(programming_language)
Ada_(programming_language)	Chapel_(programming_language)
Ada_(programming_language)	C++
Ada_(programming_language)	Nim_(programming_language)
Agda_(programming_language)	Idris_(programming_language)
AgentCubes	Scratch_(programming_language)
AgentSheets	Scratch_(programming_language)
AgentSheets	Etoys_(programming_language)
Alef_(programming_language)	Limbo_(programming_language)
Alef_(programming_language)	Rust_(programming_language)
Alef_(programming_language)	Go_(programming_language)
Apache_Groovy	Kotlin_(programming_language)
Asm.js	WebAssembly
BASIC	COMAL
BASIC	GRASS_(programming_language)
BASIC	Visual_Basic_(classic)
BASIC	Visual_Basic_.NET
BASIC-PLUS	Microsoft_BASIC
BCPL	C_(programming_language)
BCPL	B_(programming_language)
BCPL	Go_(programming_language)
B_(programming_language)	C_(programming_language)
Boo_(programming_language)	Vala_(programming_language)
Boo_(programming_language)	Genie_(programming_language)
Burroughs_large_systems	Burroughs_MCP
Burroughs_large_systems	Executive_Systems_Problem_Oriented_Language
Burroughs_large_systems	NEWP
C*	Dataparallel-C
C++	Objective-C
C++	PHP
C++	Nim_(programming_language)
C++	Rust_(programming_language)
C++	Seed7
C++	Python_(programming_language)
C++	Lua_(programming_language)
C++	Perl
C++	JS++
C++	D_(programming_language)
C++	Clojure
C++	Chapel_(programming_language)
C++	Java_(programming_language)
C++	C_Sharp_(programming_language)
C++	C99
C++	Ada_(programming_language)
CLU_(programming_language)	Sather
CLU_(programming_language)	Ruby_(programming_language)
CLU_(programming_language)	Python_(programming_language)
CLU_(programming_language)	Ada_(programming_language)
CLU_(programming_language)	C++
CLU_(programming_language)	Argus_(programming_language)
CLU_(programming_language)	Swift_(programming_language)
CLU_(programming_language)	Lua_(programming_language)
COBOL	Programming_Language_for_Business
COBOL	PL/I
COBOL	CobolScript
COBOL	EGL_(programming_language)
COMIT	SNOBOL
COMTRAN	COBOL
COWSEL	POP-2
CPL_(programming_language)	BCPL
CPL_(programming_language)	POP-2
C_(programming_language)	Limbo_(programming_language)
C_(programming_language)	Nim_(programming_language)
C_(programming_language)	Objective-C
C_(programming_language)	PHP
C_(programming_language)	Perl
C_(programming_language)	Pike_(programming_language)
C_(programming_language)	Seed7
C_(programming_language)	Python_(programming_language)
C_(programming_language)	Rust_(programming_language)
C_(programming_language)	Vala_(programming_language)
C_(programming_language)	Verilog
C_(programming_language)	Processing
C_(programming_language)	LPMud
C_(programming_language)	Zig_(programming_language)
C_(programming_language)	Java_(programming_language)
C_(programming_language)	AMPL
C_(programming_language)	AWK
C_(programming_language)	C++
C_(programming_language)	C--
C_(programming_language)	C_Sharp_(programming_language)
C_(programming_language)	Julia_(programming_language)
C_(programming_language)	Category:C_programming_language_family
C_(programming_language)	D_(programming_language)
C_(programming_language)	Go_(programming_language)
C_(programming_language)	JS++
C_(programming_language)	JavaScript
C_(programming_language)	C_shell
C_Sharp_(programming_language)	Visual_J_Sharp
C_Sharp_(programming_language)	Vala_(programming_language)
C_Sharp_(programming_language)	TypeScript
C_Sharp_(programming_language)	Swift_(programming_language)
C_Sharp_(programming_language)	Rust_(programming_language)
C_Sharp_(programming_language)	Oxygene_(programming_language)
C_Sharp_(programming_language)	Nemerle
C_Sharp_(programming_language)	Kotlin_(programming_language)
C_Sharp_(programming_language)	Hack_(programming_language)
C_Sharp_(programming_language)	F_Sharp_(programming_language)
C_Sharp_(programming_language)	Dart_(programming_language)
C_Sharp_(programming_language)	Crystal_(programming_language)
C_Sharp_(programming_language)	Clojure
C_Sharp_(programming_language)	Chapel_(programming_language)
C_Sharp_(programming_language)	Java_(programming_language)
C_Sharp_(programming_language)	D_(programming_language)
Caml	OCaml
Clean_(programming_language)	Idris_(programming_language)
Clean_(programming_language)	Haskell
Clojure	LFE_(programming_language)
Clojure	Elixir_(programming_language)
Clojure	Hy
CoffeeScript	LiveScript_(programming_language)
CoffeeScript	Lua_(programming_language)
Common_Lisp	Moose_(Perl)
Common_Lisp	*Lisp
Common_Lisp	AutoLISP
Common_Lisp	Cadence_SKILL
Common_Lisp	Clojure
Common_Lisp	Cyc
Common_Lisp	Dylan_(programming_language)
Common_Lisp	Emacs_Lisp
Common_Lisp	EuLisp
Common_Lisp	ISLISP
Common_Lisp	Julia_(programming_language)
Common_Lisp	R_(programming_language)
Concurrent_Euclid	Turing_(programming_language)
Control_Language	PowerShell
Cyclone_(programming_language)	Project_Verona
Cyclone_(programming_language)	Rust_(programming_language)
Cω	C_Sharp_(programming_language)
Cω	Joins_(concurrency_library)
Cω	Language_Integrated_Query
DARSIMCO	DOPE_(Dartmouth_Oversimplified_Programming_Experiment)
DARSIMCO	Dartmouth_BASIC
DIGITAL_Command_Language	PowerShell
DOPE_(Dartmouth_Oversimplified_Programming_Experiment)	Dartmouth_BASIC
D_(programming_language)	Qore_(programming_language)
